64,65,pescara,Pescara_Circuit,Pescara,Italy
65,66,bremgarten,Circuit_Bremgarten,Bern,Switzerland
66,67,pedralbes,Circuit_de_Pedralbes,Barcelona,Spain
67,68,buddh,Buddh_International_Circuit,Uttar_Pradesh,India
68,69,americas,Circuit_of_the_Americas,Austin,USA
69,70,red_bull_ring,Red_Bull_Ring,Spielberg,Austria
70,71,sochi,Sochi_Autodrom,Sochi,Russia
71,73,baku,Baku_City_Circuit,Baku,Azerbaijan
72,75,portimao,Autódromo_Internacional_do_Algarve,Portimão,Portugal
73,76,mugello,Autodromo_Internazionale_del_Mugello,Mugello,Italy
74,77,jeddah,Jeddah_Corniche_Circuit,Jeddah,Saudi_Arabia
75,78,losail,Losail_International_Circuit,Al_Daayen,Qatar
76,79,miami,Miami_International_Autodrome,Miami,USA
